STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,1,0,1,0,0,0,2,0,2
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,1,0,1,0,0,0,2,0,2
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,2,0,1,0,0,0,3,0,3
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,1,0,1,1,2,1,3
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,2,0,2,0,2
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,1,0,0,0,1,0,1
0.0,2009,0.0,0,0,1,0,2,0,3,0,3
0.0,2009,0.0,0,0,2,0,3,0,5,0,5
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
