Area_Name,Year,EPC_Cases_Cases_Acquitted,EPC_Cases_Cases_Convicted,EPC_Cases_Cases_Pending_for_Trial,EPC_Cases_Registered,EPC_Cases_Trial_Completed,EPC_Escapees_Re_Arrested_from_Lockup,EPC_Escapees_Re_Arrested_from_Others,EPC_FR_Submitted,EPC_Persons_Awarded_more_than_3_Years_Imprisonment,EPC_Persons_Awarded_upto_3_Years_Imprisonment,EPC_Persons_Cases_Acquitted,EPC_Persons_Cases_Convicted,EPC_Persons_Cases_Pending_for_Trial,EPC_Persons_Chargesheeted_for_Escape,EPC_Persons_Escaped,EPC_Persons_Escaped_from_Lockup,EPC_Persons_Escaped_Outside_the_Lockup,EPC_Persons_Escaped_Total,EPC_Persons_Trial_Completed
Punjab,2007,7.0,2.0,43.0,80.0,9.0,16.0,37.0,38.0,,1.0,10.0,3.0,41.0,62.0,102.0,23.0,79.0,102.0,13.0
Rajasthan,2007,,2.0,86.0,140.0,2.0,24.0,116.0,9.0,,1.0,,2.0,138.0,140.0,206.0,50.0,156.0,206.0,2.0
West Bengal,2007,1.0,2.0,15.0,31.0,3.0,2.0,22.0,10.0,0.0,2.0,1.0,2.0,12.0,18.0,35.0,5.0,30.0,35.0,3.0
West Bengal,2008,1.0,2.0,22.0,39.0,3.0,8.0,30.0,17.0,0.0,4.0,1.0,4.0,19.0,24.0,44.0,10.0,34.0,44.0,5.0
Jharkhand,2009,,2.0,19.0,14.0,2.0,4.0,3.0,0.0,,,,2.0,15.0,12.0,14.0,5.0,9.0,14.0,2.0
Goa,2010,,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
Haryana,2010,5.0,2.0,43.0,25.0,7.0,7.0,13.0,15.0,0.0,1.0,13.0,2.0,90.0,20.0,43.0,5.0,38.0,43.0,15.0
Delhi,2001,,1.0,8.0,16.0,1.0,16.0,8.0,8.0,1.0,1.0,,1.0,8.0,9.0,16.0,8.0,8.0,16.0,1.0
Gujarat,2001,0.0,1.0,64.0,70.0,1.0,111.0,56.0,24.0,0.0,8.0,0.0,1.0,74.0,65.0,271.0,185.0,86.0,271.0,1.0
Karnataka,2001,0.0,1.0,9.0,13.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,9.0,9.0,13.0,5.0,8.0,13.0,1.0
Odisha,2001,1.0,1.0,48.0,57.0,2.0,13.0,32.0,1.0,1.0,0.0,1.0,1.0,51.0,46.0,66.0,21.0,45.0,66.0,2.0
Punjab,2001,1.0,1.0,12.0,40.0,2.0,6.0,21.0,10.0,0.0,1.0,1.0,1.0,18.0,12.0,45.0,8.0,37.0,45.0,2.0
Rajasthan,2001,,1.0,50.0,70.0,1.0,9.0,55.0,9.0,2.0,,,2.0,62.0,64.0,82.0,9.0,73.0,82.0,2.0
Uttarakhand,2001,,1.0,5.0,9.0,1.0,,3.0,,0.0,1.0,,1.0,5.0,6.0,9.0,1.0,8.0,9.0,1.0
Bihar,2002,3.0,1.0,28.0,134.0,4.0,23.0,25.0,2.0,1.0,0.0,3.0,1.0,48.0,87.0,200.0,97.0,103.0,200.0,4.0
