Area_Name,Year,AC01_No_of_cases_pending_investigation_from_previous_year,AC02_No_of_cases_registered_during_the_year,AC03_Total_No_of_cases_for_investigation_during_the_year,AC04_No_of_cases_investigated_during_the_year,AC05_No_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,AC06_No_of_cases_transferred_to_local_police_during_the_year,AC07_No_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,AC08_No_of_cases_in_which_charge_sheets_were_laid_during_the_year,AC09_No_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,AC10_No_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,AC11_No_of_cases_reported_for_regular_departmental_action_during_the_year,AC12_No_of_cases_reported_for_suitable_action_during_the_year,AC13_No_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,AC14_No_of_cases_pending_investigation_at_the_end_of_the_year,AC15_No_of_cases_resulted_in_recoveries_or_seizures_during_the_year,AC16_Value_of_property_recoveredseized_during_the_year_in_Rs,AC17_Percentage_of_cases_charge_sheeted_to_total_cases_investigated,AC18_No_of_cases_pending_trial_from_the_previous_year,AC19_No_of_cases_sent_up_for_trial_during_the_year,AC20_Total_No_of_cases_for_trial_during_the_year,AC21_No_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,AC22_No_of_cases_in_which_trials_were_completed_during_the_year,AC23_No_of_cases_convicted_during_the_year,AC24_No_of_cases_acquitted_or_discharged_during_the_year,AC25_No_of_cases_pending_trial_at_the_end_of_the_year,AC26_Percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,AC27_Total_amount_of_fine_imposed_during_the_year_in_Rs
Haryana,2002,102.0,268.0,370.0,199.0,0.0,0.0,8.0,99.0,23.0,64.0,0.0,0.0,14.0,262.0,32.0,67700.0,0.0,343.0,99.0,442.0,2.0,58.0,8.0,50.0,382.0,0.0,78000.0
Andhra Pradesh,2005,279.0,251.0,530.0,300.0,2.0,0.0,0.0,232.0,43.0,78.0,9.0,0.0,69.0,232.0,184.0,20861842.0,0.0,1023.0,232.0,1255.0,8.0,148.0,84.0,64.0,1099.0,0.0,965767.0
Andhra Pradesh,2007,116.0,244.0,360.0,161.0,1.0,0.0,0.0,205.0,22.0,61.0,6.0,0.0,28.0,193.0,244.0,63301660.0,0.0,1060.0,205.0,1265.0,0.0,253.0,156.0,97.0,1012.0,0.0,288100.0
Punjab,2001,343.0,243.0,586.0,174.0,0.0,7.0,0.0,174.0,100.0,2.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,880.0,174.0,1054.0,47.0,133.0,40.0,93.0,874.0,0.0,127600.0
Andhra Pradesh,2006,232.0,234.0,466.0,352.0,4.0,0.0,0.0,223.0,32.0,117.0,18.0,0.0,108.0,116.0,227.0,41949744.0,0.0,1099.0,223.0,1322.0,8.0,254.0,148.0,106.0,1060.0,0.0,529050.0
Madhya Pradesh,2001,401.0,231.0,632.0,632.0,0.0,0.0,0.0,143.0,229.0,0.0,0.0,0.0,26.0,234.0,28.0,18035078.0,0.0,582.0,143.0,725.0,7.0,151.0,52.0,99.0,567.0,0.0,5157162.0
Haryana,2007,325.0,229.0,554.0,386.0,63.0,0.0,1.0,245.0,48.0,119.0,0.0,0.0,26.0,275.0,107.0,371500.0,0.0,630.0,245.0,875.0,6.0,139.0,34.0,105.0,730.0,0.0,200350.0
Tamil Nadu,2007,216.0,227.0,443.0,443.0,0.0,0.0,0.0,179.0,45.0,51.0,161.0,91.0,118.0,154.0,39.0,12677413.0,0.0,142.0,179.0,321.0,12.0,67.0,34.0,33.0,242.0,0.0,379000.0
Andhra Pradesh,2001,285.0,226.0,511.0,209.0,14.0,1.0,0.0,150.0,13.0,1.0,40.0,0.0,47.0,302.0,154.0,439817.0,0.0,526.0,150.0,676.0,5.0,41.0,21.0,20.0,630.0,0.0,121250.0
Haryana,2008,275.0,226.0,501.0,379.0,50.0,0.0,0.0,246.0,60.0,119.0,0.0,0.0,33.0,228.0,107.0,448600.0,0.0,730.0,246.0,976.0,10.0,195.0,37.0,158.0,771.0,0.0,144750.0
Gujarat,2010,175.0,223.0,398.0,223.0,0.0,0.0,22.0,200.0,50.0,16.0,16.0,11.0,4.0,192.0,217.0,24529359.0,0.0,1107.0,200.0,1307.0,6.0,174.0,45.0,129.0,1127.0,0.0,470000.0
Kerala,2003,497.0,210.0,707.0,707.0,0.0,2.0,22.0,106.0,23.0,4.0,16.0,0.0,9.0,4.0,4.0,0.0,0.0,274.0,106.0,380.0,2.0,56.0,22.0,34.0,322.0,0.0,1144500.0
Madhya Pradesh,2003,270.0,210.0,480.0,480.0,0.0,0.0,0.0,175.0,191.0,0.0,12.0,0.0,40.0,265.0,24.0,16250661.0,0.0,634.0,175.0,809.0,4.0,105.0,42.0,59.0,508.0,0.0,0.0
Gujarat,2005,135.0,205.0,340.0,177.0,0.0,0.0,3.0,141.0,33.0,0.0,0.0,0.0,3.0,196.0,175.0,799894.0,0.0,1503.0,141.0,1644.0,0.0,329.0,109.0,220.0,1315.0,0.0,571770.0
Gujarat,2006,196.0,204.0,400.0,204.0,0.0,0.0,7.0,179.0,59.0,0.0,3.0,0.0,7.0,175.0,204.0,2099033.0,0.0,1315.0,179.0,1494.0,0.0,316.0,88.0,228.0,1178.0,0.0,1103600.0
Gujarat,2001,130.0,199.0,329.0,194.0,1.0,0.0,4.0,183.0,76.0,6.0,2.0,0.0,10.0,91.0,158.0,2484904.0,0.0,1430.0,183.0,1613.0,4.0,97.0,18.0,79.0,1512.0,0.0,121500.0
Kerala,2009,423.0,198.0,621.0,621.0,0.0,0.0,18.0,84.0,24.0,5.0,18.0,2.0,19.0,508.0,4.0,0.0,0.0,809.0,84.0,893.0,6.0,62.0,48.0,14.0,827.0,0.0,9153000.0
Punjab,2008,434.0,196.0,630.0,178.0,15.0,3.0,6.0,125.0,135.0,71.0,0.0,6.0,50.0,452.0,53.0,411635.0,0.0,1173.0,125.0,1298.0,3.0,178.0,55.0,123.0,1117.0,0.0,364400.0
Karnataka,2001,322.0,195.0,517.0,517.0,0.0,0.0,20.0,96.0,142.0,22.0,1.0,0.0,103.0,200.0,103.0,37800640.0,0.0,1127.0,96.0,1223.0,5.0,168.0,15.0,153.0,1050.0,0.0,50000.0
Andhra Pradesh,2004,389.0,195.0,584.0,305.0,1.0,0.0,0.0,172.0,26.0,31.0,37.0,1.0,68.0,279.0,175.0,858650.0,0.0,943.0,172.0,1115.0,0.0,92.0,52.0,40.0,1023.0,0.0,129800.0
Gujarat,2004,95.0,195.0,290.0,173.0,0.0,0.0,5.0,159.0,53.0,2.0,1.0,0.0,4.0,135.0,153.0,2453777.0,0.0,1583.0,159.0,1742.0,2.0,237.0,79.0,158.0,1503.0,0.0,619000.0
Gujarat,2003,123.0,190.0,313.0,216.0,0.0,0.0,0.0,139.0,28.0,3.0,1.0,0.0,3.0,95.0,165.0,714640.0,0.0,1580.0,139.0,1719.0,3.0,133.0,47.0,86.0,1583.0,0.0,313750.0
Punjab,2007,476.0,189.0,665.0,231.0,12.0,2.0,9.0,198.0,147.0,198.0,0.0,3.0,31.0,434.0,67.0,2464753.0,0.0,1180.0,198.0,1378.0,13.0,192.0,60.0,132.0,1173.0,0.0,281200.0
Gujarat,2008,187.0,186.0,373.0,190.0,3.0,0.0,9.0,183.0,83.0,17.0,11.0,4.0,18.0,187.0,182.0,1928557.0,0.0,1061.0,183.0,1244.0,6.0,177.0,62.0,115.0,1061.0,0.0,479000.0
Gujarat,2009,187.0,183.0,370.0,215.0,0.0,0.0,19.0,196.0,76.0,22.0,23.0,16.0,19.0,175.0,181.0,11013548.0,0.0,1061.0,196.0,1257.0,3.0,147.0,53.0,94.0,1107.0,0.0,0.0
Kerala,2010,538.0,181.0,719.0,719.0,1.0,1.0,46.0,81.0,34.0,19.0,12.0,5.0,36.0,520.0,8.0,0.0,0.0,827.0,81.0,908.0,0.0,42.0,30.0,12.0,794.0,71.4,3644800.0
Gujarat,2002,91.0,178.0,269.0,183.0,0.0,0.0,9.0,173.0,76.0,11.0,1.0,0.0,8.0,123.0,144.0,930091.0,0.0,1512.0,173.0,1685.0,1.0,104.0,30.0,74.0,1580.0,0.0,207200.0
Gujarat,2007,175.0,165.0,340.0,189.0,0.0,0.0,17.0,155.0,76.0,11.0,6.0,3.0,13.0,187.0,156.0,1216980.0,200.0,1178.0,155.0,1333.0,0.0,272.0,88.0,184.0,1061.0,81.0,684500.0
Himachal Pradesh,2009,242.0,163.0,405.0,405.0,0.0,0.0,4.0,93.0,25.0,9.0,0.0,0.0,13.0,296.0,30.0,8047592.0,0.0,329.0,93.0,422.0,0.0,49.0,9.0,40.0,373.0,0.0,318000.0
Punjab,2009,452.0,162.0,614.0,245.0,12.0,3.0,15.0,168.0,125.0,52.0,0.0,22.0,74.0,369.0,46.0,651975.0,0.0,1117.0,168.0,1285.0,11.0,362.0,117.0,245.0,912.0,0.0,547800.0
Haryana,2003,262.0,152.0,414.0,285.0,0.0,0.0,9.0,180.0,34.0,142.0,0.0,0.0,26.0,228.0,41.0,128500.0,0.0,382.0,180.0,562.0,3.0,63.0,18.0,45.0,496.0,0.0,100400.0
Tamil Nadu,2003,116.0,152.0,268.0,268.0,3.0,0.0,0.0,25.0,11.0,24.0,7.0,1.0,10.0,228.0,32.0,825623.0,0.0,115.0,25.0,140.0,0.0,16.0,11.0,5.0,124.0,0.0,43600.0
Karnataka,2002,200.0,151.0,351.0,351.0,0.0,2.0,19.0,129.0,81.0,45.0,16.0,0.0,59.0,140.0,151.0,6142703.0,0.0,1050.0,129.0,1179.0,8.0,120.0,8.0,112.0,1051.0,0.0,16500.0
Haryana,2005,199.0,151.0,350.0,243.0,1.0,0.0,3.0,114.0,26.0,68.0,0.0,0.0,25.0,214.0,41.0,148890.0,0.0,529.0,114.0,643.0,4.0,107.0,29.0,78.0,532.0,0.0,254000.0
Kerala,2008,476.0,149.0,625.0,625.0,0.0,1.0,37.0,108.0,32.0,12.0,22.0,0.0,59.0,423.0,6.0,0.0,0.0,529.0,108.0,637.0,8.0,35.0,25.0,10.0,594.0,0.0,1380000.0
Kerala,2004,552.0,146.0,698.0,698.0,2.0,0.0,33.0,98.0,13.0,6.0,22.0,1.0,2.0,520.0,8.0,0.0,0.0,322.0,98.0,420.0,1.0,40.0,14.0,26.0,379.0,0.0,669000.0
Kerala,2002,474.0,145.0,619.0,619.0,0.0,0.0,21.0,81.0,13.0,11.0,10.0,10.0,21.0,497.0,0.0,0.0,0.0,247.0,81.0,328.0,1.0,53.0,31.0,22.0,274.0,0.0,1716481.0
Kerala,2005,520.0,143.0,663.0,663.0,0.0,1.0,25.0,117.0,17.0,1.0,7.0,26.0,30.0,531.0,4.0,0.0,0.0,379.0,117.0,496.0,0.0,55.0,27.0,28.0,441.0,0.0,1129000.0
Uttar Pradesh,2002,155.0,137.0,292.0,130.0,0.0,0.0,0.0,56.0,135.0,26.0,26.0,1.0,12.0,93.0,0.0,0.0,0.0,193.0,56.0,249.0,0.0,8.0,1.0,7.0,241.0,0.0,0.0
Bihar,2007,220.0,133.0,353.0,353.0,0.0,0.0,0.0,248.0,99.0,0.0,0.0,0.0,0.0,86.0,117.0,30347184.0,0.0,440.0,248.0,688.0,4.0,4.0,4.0,0.0,684.0,0.0,0.0
Kerala,2001,462.0,129.0,591.0,591.0,0.0,0.0,30.0,62.0,115.0,0.0,15.0,0.0,30.0,474.0,0.0,0.0,10.7,235.0,62.0,297.0,0.0,50.0,43.0,7.0,247.0,86.0,1722025.0
