Area_Name,Year,ACA01_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,ACA02_No_of_persons_arrested_during_the_year,ACA04_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,ACA05_No_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,ACA06_No_of_persons_under_trial_at_the_beginning_of_the_year,ACA07_Total_No_of_persons_under_trial_during_the_year,ACA08_No_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,ACA09_No_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,ACA10_No_of_persons_in_whose_cases_trials_were_completed_during_the_year,ACA11_No_of_persons_convicted_during_the_year,ACA12_No_of_persons_acquitted_during_the_year,ACA13_Percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,ACA14_No_of_persons_involved_in_the_cases_reported_for_Regular_Departmental_Action_during_the_year,ACA15_No_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,ACA16_No_of_persons_punished_departmentally_during_the_year:,ACA161_No_of_persons_dismissed_from_Service_during_the_year,ACA162_No_of_persons_removed_from_service_during_the_year,ACA163_No_of_persons_awarded_other_major_punishments_during_the_year,ACA164_No_of_persons_awarded_minor_punishments_during_the_year,ACA171_No_of_Group_`A'_Officers_out_of_above,ACA172_No_of_Group_`B'_Officers_out_of_above,ACA19_No_of_private_persons_involved_during_the_year
Tamil Nadu,2001,437.0,129.0,448.0,118.0,181.0,299.0,0.0,274.0,25.0,13.0,12.0,0.0,32.0,0.0,18.0,2.0,3.0,4.0,9.0,1.0,25.0,3.0
Madhya Pradesh,2004,476.0,129.0,0.0,378.0,811.0,1189.0,6.0,102.0,161.0,72.0,89.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,10.0
Bihar,2006,16.0,129.0,13.0,132.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,71.0,48.0
Delhi,2008,162.0,121.0,204.0,79.0,611.0,690.0,8.0,595.0,87.0,61.0,26.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,23.0
Delhi,2006,160.0,116.0,169.0,107.0,573.0,680.0,2.0,628.0,50.0,37.0,13.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,26.0
Haryana,2010,968.0,114.0,929.0,119.0,2219.0,2338.0,17.0,1797.0,524.0,88.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,14.0
Uttar Pradesh,2001,53.0,108.0,41.0,119.0,163.0,282.0,2.0,277.0,3.0,0.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,3.0,0.0,20.0
Delhi,2003,111.0,106.0,146.0,71.0,508.0,579.0,0.0,539.0,40.0,9.0,31.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,13.0
Delhi,2005,136.0,102.0,160.0,78.0,558.0,636.0,7.0,573.0,56.0,22.0,34.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,9.0
Delhi,2009,204.0,95.0,226.0,73.0,595.0,668.0,4.0,572.0,92.0,50.0,42.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,8.0
Delhi,2002,103.0,94.0,111.0,82.0,477.0,559.0,4.0,508.0,47.0,14.0,33.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0
Karnataka,2003,221.0,93.0,221.0,43.0,1967.0,2010.0,562.0,1262.0,186.0,19.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,112.0,6.0
Delhi,2001,144.0,87.0,103.0,123.0,443.0,566.0,12.0,477.0,77.0,5.0,72.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0
Jharkhand,2002,26.0,84.0,84.0,72.0,26.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0
Bihar,2004,14.0,81.0,12.0,83.0,1195.0,1278.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,37.0
Himachal Pradesh,2005,87.0,81.0,103.0,51.0,94.0,145.0,1.0,113.0,31.0,9.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,12.0
Himachal Pradesh,2006,103.0,79.0,112.0,59.0,113.0,172.0,8.0,141.0,23.0,5.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,7.0
Uttar Pradesh,2006,135.0,78.0,152.0,61.0,436.0,497.0,0.0,476.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
