Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Karnataka,2007,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,219,638,2956652,33583109
Karnataka,2008,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,100,260,15969590,36047601
Karnataka,2009,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,13,44,1014443,3086709
Karnataka,2010,Motor Vehicles - Others - Property,4.3 Motor Vehicles - Other Motor Vehicles,29,61,5467366,7916362
Karnataka,2001,Motor Vehicles - Property,4. Motor Vehicles,10,11,63180,99680
Karnataka,2002,Motor Vehicles - Property,4. Motor Vehicles,0,0,0,0
Karnataka,2003,Motor Vehicles - Property,4. Motor Vehicles,0,0,0,0
Karnataka,2004,Motor Vehicles - Property,4. Motor Vehicles,31,70,686235,1058584
Karnataka,2005,Motor Vehicles - Property,4. Motor Vehicles,8,10,4216014,917606
Karnataka,2006,Motor Vehicles - Property,4. Motor Vehicles,1,1,8000,8000
Karnataka,2007,Motor Vehicles - Property,4. Motor Vehicles,0,0,0,0
Karnataka,2008,Motor Vehicles - Property,4. Motor Vehicles,1,2,40000,50000
Karnataka,2009,Motor Vehicles - Property,4. Motor Vehicles,6,13,228518,828052
Karnataka,2010,Motor Vehicles - Property,4. Motor Vehicles,0,0,0,0
Karnataka,2001,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,38,52,1475206,1714706
Karnataka,2002,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,0,1,0,35000
Karnataka,2003,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,0,1,0,45000
Karnataka,2004,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,83,998,7084471,32261179
Karnataka,2005,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,14,108,4366014,305845
Karnataka,2006,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,1,3,20000,29000
Karnataka,2007,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,2,8,1000000,1119200
Karnataka,2008,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,4,6,80500,568000
Karnataka,2009,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,2,4,35000,90000
Karnataka,2010,Motor Vehicles -	Motor Cycles/Scooters - Property,4.1 Motor Vehicles - Motor Cycle/Scooters,4,8,194000,239066
Karnataka,2001,Other Nature of Property,9. Other kinds of Property,3633,13013,114484139,361138111
Karnataka,2002,Other Nature of Property,9. Other kinds of Property,4988,15508,185800607,396702549
Karnataka,2003,Other Nature of Property,9. Other kinds of Property,4308,15236,140736961,502956855
Karnataka,2004,Other Nature of Property,9. Other kinds of Property,4422,14763,207065817,524488144
Karnataka,2005,Other Nature of Property,9. Other kinds of Property,5416,16167,240493132,2486314642
Karnataka,2006,Other Nature of Property,9. Other kinds of Property,5273,14568,212534737,654738201
Karnataka,2007,Other Nature of Property,9. Other kinds of Property,6586,13814,197260767,845135881
Karnataka,2008,Other Nature of Property,9. Other kinds of Property,5381,15895,400276367,1401282198
Karnataka,2009,Other Nature of Property,9. Other kinds of Property,5712,17999,634263479,1875157515
Karnataka,2010,Other Nature of Property,9. Other kinds of Property,6575,18184,643679075,1846862989
Karnataka,2001,Total Property(Nature),Total Property Stolen & Recovered,6652,21039,218531303,583882867
Karnataka,2002,Total Property(Nature),Total Property Stolen & Recovered,7397,22219,264284974,638855643
Karnataka,2003,Total Property(Nature),Total Property Stolen & Recovered,6708,22463,218541891,700067515
Karnataka,2004,Total Property(Nature),Total Property Stolen & Recovered,7106,24265,303383721,812326481
Karnataka,2005,Total Property(Nature),Total Property Stolen & Recovered,7973,25185,357261516,2781334074
Karnataka,2006,Total Property(Nature),Total Property Stolen & Recovered,7752,23164,327583403,976059874
Karnataka,2007,Total Property(Nature),Total Property Stolen & Recovered,9429,22130,334206596,1238690783
Karnataka,2008,Total Property(Nature),Total Property Stolen & Recovered,8160,26727,609152500,1921058853
Karnataka,2009,Total Property(Nature),Total Property Stolen & Recovered,8933,30575,873516628,2511469442
Karnataka,2010,Total Property(Nature),Total Property Stolen & Recovered,10293,29717,999646710,2411483345
